Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,31943.444,32331.583,32719.722,33107.861,33496,33895.6,34295.2,34694.8,35094.4,35494,35863,36121.36,36379.8,36638.2,36896.6,37155,37413.4,37671.8,..,..
Uzbekistan,UZB,Forest rents (% of GDP),NY.GDP.FRST.RT.ZS,0.0031991108927118,0.00306486133576994,0.00241564268353832,0.00204170408290201,0.00126063771377259,0.00147510140962599,0.00129459172939756,0.00116464821968604,0.00104922016665292,0.000829688658250525,0.000758354018737819,0.00140426778930117,0.00175681198749663,0.000913189148781614,0.000989891755925739,0.000733723417289998,..,..,..,..
Uzbekistan,UZB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,..,..,..,..,93.4728361454702,..,..,..,..,..,0,0,0,0,0,0,0,..,..,..
Uzbekistan,UZB,GDP (constant 2015 US$),NY.GDP.MKTP.KD,43870437889.2749,48026286798.048,52362657563.9371,56578340212.8329,60876691748.3487,65457747965.3909,70106848438.9456,75222229947.9017,80392884506.0999,86196264755.3105,91309557164.505,95322862968.5109,100622047495.601,107444145839.577,109123866128.148,117891622986.822,124966702851.263,132828878427.532,141462755525.291,..
Uzbekistan,UZB,GDP (constant LCU),NY.GDP.MKTP.KN,56885220553000,62273960514000,67896776681000,73363100903000,78936618900000,84876709900000,90905031442600,97537962850400,104242564835200,111767599489800,118397822037000,123601731475600,130472993653000,139318963458700,141496996404800,152865831699300,162039833553000,172234434136000,183429672354800,..
Uzbekistan,UZB,GDP (current LCU),NY.GDP.MKTP.CN,21124900000000,28190000000000,38969800000000,49375600000000,78936618900000,103232580000000,127590235500000,153311335300000,186829495500000,221350905700000,255421861800000,356453840900000,473652793400000,594659595000000,668037954400000,820536612600000,995573090500000,1.2044853549E+15,1.4545738674E+15,..
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,17330833852.919,22311393927.8817,29549438883.8338,33689223673.2577,49765676402.4495,60178909297.208,67517349212.0609,73180037914.9104,80845385809.4529,86196264755.3105,86138288644.171,69703222282.7278,58695899092.1083,67293639798.3996,66443265418.3086,77340060003.0347,90095926567.4359,102641879248.764,114965293466.611,..
Uzbekistan,UZB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.45141847621768,9.4730053054454,9.02916101784777,8.05093332733966,7.5971679610016,7.52513989422977,7.10244488706317,7.29655036969899,6.8738384408164,7.21877350820803,5.93215079993293,4.39527463349263,5.55919572919288,6.77992399655236,1.56334277260515,8.03468312640049,6.00134232203442,6.29141635082311,6.49999999997677,..
Uzbekistan,UZB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1643.14645619601,1773.75803693248,1904.45855506712,2025.04298646098,2144.6400056546,2271.00936223002,2395.84036755728,2530.68447898703,2659.99075095273,2803.19018021751,2918.67725852903,2995.76761437743,3108.1618786112,3259.36964632494,3249.05191094018,3442.7248445034,3576.71552716054,3725.67414578619,3890.41593075015,..
Uzbekistan,UZB,GDP per capita (constant LCU),NY.GDP.PCAP.KN,2130608.97175228,2299968.31563944,2469442.98145531,2625800.48106383,2780877.63874986,2944736.24298985,3106600.12243906,3281447.63680203,3449114.43370567,3634795.98850005,3784543.9335138,3884504.22809791,4030241.83222136,4226307.51174415,4212928.87498537,4464057.60929837,4637798.51323544,4830947.80194729,5044562.5553633,..
Uzbekistan,UZB,GDP per capita (current LCU),NY.GDP.PCAP.CN,791223.116124424,1041143.14045113,1417352.98497089,1767243.65024098,2780877.63874986,3581579.91917343,4360284.95822708,5157818.59917208,6181700.44635551,7198556.53840573,8164468.2387815,11202484.2659355,14630884.5107525,18039283.7477883,19890149.3260421,23961683.7096089,28494644.1729582,33784219.2063476,40002736.5872575,..
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,649.118167003925,824.028192334768,1074.72928796701,1205.7993547038,1753.20730243278,2087.86386135694,2307.34649117185,2461.97947403595,2674.9628382103,2803.19018021751,2753.37951427589,2190.60411562888,1813.08530813664,2041.38480729431,1978.28051860763,2258.51964119278,2578.66689394219,2878.96879292451,3161.70010632875,..
Uzbekistan,UZB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,6.07475146177367,7.948870305745,7.36856523907177,6.33169102436078,5.90590026943735,5.89233420258107,5.49671909783243,5.62825943062448,5.109537480447,5.38345590914129,4.11984456589953,2.64127716153368,3.7517684514097,4.86486140745366,-0.316556159759102,5.960906100364,3.89199511169356,4.16467615314973,4.42179800265912,..
Uzbekistan,UZB,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,4413.72281227266,4764.56391427529,5115.64391465594,5439.55068123847,5760.80511957791,6100.25100998284,6435.56467226429,6797.77494784494,7145.10980664151,7529.76364274179,7839.97820100236,8047.05375469466,8348.96057873127,8755.12593984949,8727.41104939223,9247.64382703929,9607.56167273449,10007.685502618,10450.2051402852,..
Uzbekistan,UZB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3955.97682075928,4386.1293366958,4800.05914327553,5135.46444647583,5504.8563793137,5949.484123529,6168.13764755172,6412.7238692872,6609.76717277708,6799.57332842183,6919.29475621804,7818.01112977426,8128.75520303523,8544.08026729718,8451.72505108114,9247.64382703929,10292.5309427485,11106.9715934767,11878.5528706848,..
Uzbekistan,UZB,GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,2.60380716194358,2.91503889298883,3.08811918739119,3.65409738072314,3.61640460788825,3.80499363680003,4.63774302304728,5.03418625175216,5.76080715414895,6.45994769922057,6.48138182955673,6.41992704713653,6.56325497780774,6.8123497753163,6.45817020006034,6.31152716528489,6.95290958897494,..,..,..
