Country Name,Country Code,Series Name,Series Code,Year,Value
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2015,255480.0
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2016,255457.0
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2017,255332.0
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2018,255203.0
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2019,255553.0
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2020,256825.0
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2021,256906.0
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2022,257690.0
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2023,255820.0
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2024,255820.0
Uzbekistan,UZB,Agricultural land (sq. km),AG.LND.AGRI.K2,2025,255820.0
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2006,60.3923368131238
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2007,59.9586223347646
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2008,59.5457913098927
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2009,59.1336063035475
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2010,58.7255558716379
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2011,58.3214206223369
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2012,57.907296925195
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2013,57.5048934231933
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2014,58.6109332727536
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2015,57.984566500227
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2016,57.9805306962693
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2017,57.9525543137807
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2018,57.9234067278426
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2019,58.0070592775022
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2020,58.2832179734483
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2021,58.3012029873846
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2022,58.4792534698583
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2023,58.0551458073301
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2024,58.0551458073301
Uzbekistan,UZB,Agricultural land (% of land area),AG.LND.AGRI.ZS,2025,58.0551458073301
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2006,4328000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2007,4289000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2008,4250000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2009,4211000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2010,4172000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2011,4133000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2012,4094000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2013,4055000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2014,4044000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2015,4041000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2016,4035300.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2017,4026400.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2018,4019800.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2019,4033500.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2020,4023000.0
